starId,movieId
s000007075,ADw35
s000005426,ADw35
s000006132,ADw40
s000005609,ADw40
s000002539,ADw40
s000006032,ADw40
s000000759,ADw40
s000007076,ADw40
s000006045,ADw40
s000005353,ADw40
s000005023,ADw41
s000007077,ADw41
s000006828,ADw41
s000007078,ADw41
s000005567,ADw41
s000005929,ADw41
s000000570,ADw41
s000004417,ADw41
s000007074,ADw41
s000000793,ADw41
s000003891,ADw41
s000006858,ADw41
s000000113,ADw41
s000004754,ADw41
s000002971,ADw41
s000000111,ADw45
s000007079,ADw45
s000000351,ADw45
s000005567,ADw45
s000000243,ADw45
s000006032,ADw45
s000003891,ADw45
s000003428,ADw52
s000007080,ADw52
s000007081,ADw52
s000001475,ADw52
s000000254,ADw52
s000006552,ADw60
s000000046,ADw60
s000006290,ADw60
s000007082,ADw60
s000000561,ADw60
s000007083,ADw60
s000007084,ADw60
s000006568,ADw60
s000007085,ADw70
s000005167,ADw70
s000001873,ADw70
s000002159,ADw70
s000000997,ADw70
s000001820,ADw70
s000006655,ADw72
s000001513,ADw72
s000001513,ADw72
s000000834,ADw72
s000007086,ADw72
s000000017,ADw72
s000005080,ADw72
s000000997,ADw72
s000001534,ADw72
s000004857,ADw75
s000005167,ADw75
s000007087,ADw75
s000002025,ADw75
s000007088,ADw75
s000000163,ADw75
s000002360,ADw75
s000007089,ADw75
s000001593,ADw75
s000007090,ADw75
s000004045,ADw78
s000004374,ADw78
s000001921,ADw78
s000006445,ADw78
s000002159,ADw78
s000005464,ADw78
s000007091,ADw78
s000001398,ADw80
s000002025,ADw80
s000004857,ADw80
s000006116,ADw80
s000007092,ADx1
s000007093,ADx1
s000007094,ADx1
s000006859,ADx1
s000006859,ADx1
s000006859,ADx1
s000006859,ADx11
s000006859,ADx11
s000007095,ADx11
s000007096,ADx12
s000000051,ADx12
s000007097,ADx13
s000007098,ADx13
s000007099,ADx13
s000003193,ADx13
s000007100,ADx14
s000006859,ADx14
s000007101,ADx14
s000006859,ADx14
s000001539,ADx14
s000006859,ADx25
s000000362,ADx30
s000002671,ADx30
s000007102,ADx30
s000000181,ADx37
s000007097,ADx37
s000001888,ADx37
s000007103,ADx37
s000006859,ADx39
s000007104,ADx39
s000007105,ADx39
s000007106,ADx45
s000005139,ADz10
s000007107,ADz10
s000007108,ADz10
s000007109,ADz10
s000005666,ADz10
s000007110,ADz10
s000003234,ADz15
s000007111,ADz15
s000007112,ADz15
s000007113,ADz15
s000005210,AEG25
s000007114,AEG25
s000007115,AEG25
s000007116,AEG25
s000003819,AEG25
s000001805,AEG25
s000005896,AEG37
s000004879,AEG37
s000001469,AEG41
s000006229,AEG41
s000003669,AEG41
s000005789,AEG41
s000007117,AEG41
s000002044,AEG41
s000000092,AEG50
s000007118,AEG50
s000004054,AEG50
s000006116,AEG50
s000007119,AEG50
s000006506,AEG50
s000003843,AEG50
s000001545,AEG50
s000004817,AEG60
s000003119,AEG60
s000001545,AEG60
s000003304,AEG60
s000001647,AEG60
s000005685,AEG60
s000002347,AEG60
s000000432,AEG60
s000000077,AEG60
s000007120,AEG70
s000000917,AEG70
s000007121,AEG70
s000003842,AEG70
s000002116,AEG70
s000007122,AEG70
s000004308,AEG70
s000007123,AEG70
s000007124,AEG70
s000002596,AES10
s000003534,AES10
s000006859,AES10
s000001989,AES11
s000000757,AES11
s000000205,AES70
s000000212,AES70
s000000351,AES70
s000005395,AES70
s000000602,AES70
s000007125,AES74
s000003159,AES74
s000001863,AES74
s000000829,AES74
s000000092,AES74
s000002596,AES80
s000003534,AES80
s000004812,AES80
s000002192,AES80
s000000376,AES85
s000007126,AES85
s000002904,AES85
s000007127,AES85
s000002565,AES85
s000002549,AES85
s000002861,AES85
s000002361,AES85
s000003483,AES85
s000007128,AES85
s000004322,AES85
s000002912,AES85
s000000132,AES85
s000003120,AES90
s000003255,AES90
s000000002,AES90
s000001295,AES90
s000001369,AES90
s000000937,AES90
s000007129,AES90
s000000617,AES90
s000005104,AES100
s000006857,AES100
s000007130,AES100
s000007131,AES100
s000000853,AES100
s000003856,AES100
s000004840,AES100
s000006587,AES100
s000001612,AES100
s000003820,AES100
s000005729,AES100
s000001989,AES100
s000007132,AES100
s000006292,AES100
s000007133,AES100
s000007134,AEy2
s000007135,AEy9
s000007136,AEy9
s000007137,AEy12
s000007136,AEy12
s000007138,AEy12
s000007139,AEy14
s000007140,AEy14
s000007141,AEy14
s000007135,AEy14
s000002850,AEy16
s000007139,AEy16
s000007142,AEy16
s000007143,AEy16
s000007144,AEy16
s000004993,AEy16
s000007136,AEy16
s000007145,AEy18
s000007146,AEy18
s000002887,AEy18
s000007136,AEy18
s000007147,AfA10
s000007148,AfA10
s000007149,AfA10
s000006859,AfA10
s000006859,AfA10
s000006859,AfA10
s000007150,AfA10
s000006859,AfA10
s000000679,AFl10
s000000312,AFl10
s000007151,AFl10
s000002757,AHa10
s000004752,AHa10
s000002868,AHa10
s000004199,AHa10
s000007152,AHa10
s000006140,AHa10
s000001410,AHa10
s000007153,AGi10
s000007154,AGi10
s000007155,AHo1
s000007156,AHo1
s000007157,AHo1
s000004026,AHo1
s000007158,AHo1
s000007159,AG20
s000000209,AG20
s000007160,AG20
s000006384,AG20
s000002184,AG30
s000007161,AG30
s000007162,AG30
s000007163,AG30
s000007159,AG40
s000000209,AG40
s000007160,AG40
s000007164,AG70
s000007165,AGe20
s000007166,AGe20
s000007167,AGe20
s000007168,AGe20
s000007169,AGe20
s000007170,AGe20
s000007171,AGe20
s000007172,AgH1
s000002617,AgH1
