id,name,birthYear
s000000492,Robby Benson,1956
s000000493,Michael Bentine,1922
s000000494,Barbi Benton,
s000000495,Susanne Benton,
s000000496,Iris Berben,
s000000497,Tom Berenger,1950
s000000498,Marisa Berenson,1946
s000000499,Judith-Marie Bergan,
s000000500,Candice Bergen,1946
s000000501,Polly Bergen,1929
s000000502,William Bergen,
s000000503,Helmut Berger,1944
s000000504,Katya Berger,
s000000505,Senta Berger,1941
s000000506,Sidney Berger,1962
s000000507,William Berger,
s000000508,Jacques Bergerac,1927
s000000509,Herbert Berghof,1909
s000000510,Ingrid Bergman,1915
s000000511,Harold Bergman,
s000000512,Henry Bergman,
s000000513,Sandahl Bergman,
s000000514,Tracy Bergman,
s000000515,Elisabeth Bergner,1898
s000000516,Thommy Bergren,
s000000517,Steven Berkoff,
s000000518,Milton Berle,1908
s000000519,Irving Berlin,1888
s000000520,Jennie Berlin,
s000000521,Shelley Berman,1926
s000000522,Susan Berman,
s000000523,Jason Bernhard,
s000000524,Sandra Bernhard,
s000000525,Herschel Bernardi,1923
s000000526,Sarah Bernhardt,1844
s000000527,Elizabeth Berridge,
s000000528,Phillip Berrigan,
s000000529,Chuck Berry,
s000000530,Halle Berry,196x
s000000531,Jules Berry,1883
s000000532,Ken Berry,1933
s000000533,Michael Berryman,
s000000534,Marina Berti,1928
s000000535,Bibi Besch,
s000000536,Joe Besser,1916
s000000537,Eugenie Besserer,1870
s000000538,Edna Best,1900
s000000539,Willie Best,1916
s000000540,Barbara Bestar,
s000000541,Jack Beutel,
s000000542,Turhan Bey,
s000000543,Richard Beymer,1939
s000000544,Daniela Bianchi,1942
s000000545,Charles Bickford,1889
s000000546,Michael Biehn,
s000000547,Ramon Bieri,
s000000548,Theodore Bikel,1924
s000000549,Tony Bill,1940
s000000550,Peter Billingsley,
s000000551,Herman Bing,1889
s000000552,Geoff Binney,
s000000553,Edward Binns,
s000000554,Julliette Binoche,1964
s000000555,Paul Birch,1900
s000000556,Brad Bird,
s000000557,Norman Bird,1920
s000000558,David Birney,1944
s000000559,Jennifer Bishop,
s000000560,Pat Bishop,
s000000561,Julie Bishop,1914
s000000562,Whit Bissell,1919
s000000563,Jacqueline Bisset,1944
s000000564,Bonnie Bittner,
s000000565,Bill Bixby,1934
s000000566,Gunnar Bjornstrand,
s000000567,Karen Black,1942
s000000568,Honor Blackman,1926
s000000569,Joan Blackman,1938
s000000570,Sidney Blackmer,1895
s000000571,Ruben Blades,1948
s000000572,Gerard Blain,1930
s000000573,Vivian Blaine,1921
s000000574,Betsy Blair,1923
s000000575,Janet Blair,1921
s000000576,Linda Blair,1959
s000000577,Amanda Blake,1929
s000000578,Jon Blake,
s000000579,Mary Blake,1896
s000000580,Robert Blake,1933
s000000581,Whitney Blake,
s000000582,Colin Blakely,1930
s000000583,Susan Blakely,1950
s000000584,Ronee Blakley,1946
s000000585,Michel Blanc,
s000000586,Pierre Blanchar,1892
s000000587,Alan Blanchard,
s000000588,Mari Blanchard,1927
s000000589,Pierre Blanchard,
s000000590,Clara Blandick,1880
s000000591,Sally Blane,1910
s000000592,Mark Blankfield,
s000000593,Roger Blay,
s000000594,Debra Blee,
s000000595,Brian Blessed,1937
s000000596,Bernard Blier,1916
s000000597,Dan Blocker,1928
s000000598,Michael Blodgett,
s000000599,Joan Blondell,1909
s000000600,Claire Bloom,1931
s000000601,Verna Bloom,
s000000602,Eric Blore,1887
s000000603,Monte Blue,1890
s000000604,Ann Blyth,1928
s000000605,Betty Blythe,1893
s000000606,John Blythe,1921
s000000607,Eleanor Boardman,1898
s000000608,Hart Bochner,
s000000609,Lloyd Bochner,1924
s000000610,Carl Boehm,1928
s000000611,Paul Boensh~III,
s000000612,Dirk Bogarde,1921
s000000613,Humphrey Bogart,1899
s000000614,Roman Bohnen,1894
s000000615,Richard Bohringer,
s000000616,Curt Bois,1900
s000000617,Mary Boland,1880
s000000618,Ray Bolger,1904
s000000619,Tiffany Bolling,
s000000620,Joseph Bologna,1938
s000000621,Fortunio Bonanova,1893
s000000622,Derek Bond,1919
s000000623,Lillian Bond,1910
s000000624,Sudie Bond,
s000000625,Ward Bond,1903
s000000626,Natalya Bondartchuk,
s000000627,Sergei Bondartchuk,1920
s000000628,Beulah Bondi,1889
s000000629,Peter Bonerz,
s000000630,Sandrine Bonnaire,1967
s000000631,Beverly Bonner,
s000000632,Val\'erie Bonnier,
s000000633,Sonny Bono,1940
s000000634,Bonzo,
s000000635,Pat Boone,1934
s000000636,Richard Boone,1917
s000000637,John Boorman,1933
s000000638,Connie Booth,
s000000639,David Booth,1930
s000000640,Shirley Booth,1907
s000000641,Powers Boothe,
s000000642,Paola Borboni,
s000000643,Matt Borel,
s000000644,Veda Ann Borg,1915
s000000645,Dirk Borgarde,
s000000646,Victor Borge,
s000000647,Nelly Borgeaud,
s000000648,Ernest Borgnine,1915
s000000649,Tom Bosley,1927
s000000650,Barry Bostwick,1946
s000000651,Benjamin Bottoms,
s000000652,Joseph Bottoms,1954
s000000653,Sam Bottoms,1960
s000000654,Timothy Bottoms,1949
s000000655,Barbara Bouchet,1943
s000000656,Daniel Boulanger,
s000000657,Mathew Boulton,
s000000658,Carole Bouquet,
s000000659,Michel Bouquet,1926
s000000660,Charon Bourke,
s000000661,Phillip Bourneuf,1912
s000000662,Julie Bovasso,
s000000663,Tony Bova,
s000000664,Clara Bow,1905
s000000665,Dorris Bowdon,1915
s000000666,Elizabeth Bowen,
s000000667,Roger Bowen,
s000000668,Malick Bowes,
s000000669,David Bowie,1947
s000000670,Judy Bowker,1954
s000000671,Lee Bowman,1910
s000000672,Bruce Boxleitner,1950
s000000673,Dorothy Boyd,
s000000674,Guy Boyd,
s000000675,Stephen Boyd,1928
s000000676,William Boyd,1895
s000000677,William `Stage' Stage,
s000000678,Charles Boyer,1899
s000000679,Lara Flynn Boyle,1970
s000000680,Peter Boyle,1933
s000000681,The Bowery Boys,n.a.
s000000682,Reizel Bozyk,1914
s000000683,Marcel Bozzuffi,1929
s000000684,Eddie Bracken,1920
s000000685,Jean Bradin,
s000000686,Terry Bradshaw,
s000000687,Alice Brady,1892
s000000688,Pat Brady,
s000000689,Rob Brady,
s000000690,Scott Brady,1924
s000000691,Sonia Braga,
s000000692,Dame Lilian Braithwaite,1873
s000000693,Wilfrid Brambell,1912
s000000694,Kenneth Branagh,1960
s000000695,Miriam Brickman,dob
s000000696,Wilford Brimley,
s000000697,Kenneth Branagh,
s000000698,Neville Brand,1921
s000000699,Klaus Maria Brandauer,1944
s000000700,Marlon Brando,1924
s000000701,Henry Brandon,1912
s000000702,Michael Brandon,
s000000703,Betsy Brantley,
s000000704,Claude Brasseur,1936
s000000705,Pierre Brasseur,1903
s000000706,Rossano Brazzi,1916
s000000707,Larry Breeding,
s000000708,Hanna Brejchova,
s000000709,El Brendel,1890
s000000710,Eileen Brennan,1935
s000000711,Walter Brennan,1894
s000000712,Eve Brent,1930
s000000713,Evelyn Brent,1899
s000000714,George Brent,1904
s000000715,Timothy Brent,
s000000716,Edmund Breon,1882
s000000717,Patricia Breslin,
s000000718,Felix Bressart,1890
s000000719,Jeremy Brett,1935
s000000720,JeanClaude Brialy,
s000000721,David Brian,1914
s000000722,Mary Brian,1908
s000000723,Fanny Brice,1891
s000000724,Bricktop,
s000000725,Beau Bridges,1941
s000000726,Jeff Bridges,1949
s000000727,Lloyd Bridges,1913
s000000728,Wilford Brimley,
s000000729,Carl Brisson,1895
s000000730,May Britt,1933
s000000731,Morgan Brittany,1953
s000000732,Barbara Britton,1920
s000000733,Pamela Britton,1923
s000000734,Tony Britton,1925
s000000735,Herman Brix,1909
s000000736,Peter Brocco,
s000000737,Phil Brock,
s000000738,Gary Brockette,
s000000739,Helen Broderick,1890
s000000740,James Broderick,1927
s000000741,Matthew Broderick,1951
s000000742,Steve Brodie,1919
s000000743,Estelle Brody,1905
s000000744,James Brolin,1940
s000000745,J.~Edward Bromberg,1903
s000000746,John Bromfield,1922
s000000747,Eleanor Bron,1934
s000000748,Charles Bronson,1922
s000000749,Clive Brook,1887
s000000750,Faith Brook,1922
s000000751,Hillary Brooke,1914
s000000752,Albert Brooks,1947
s000000753,Elisabeth Brooks,
s000000754,Geraldine Brooks,1925
s000000755,Hildy Brooks,
s000000756,James L. Brooks,
s000000757,Louise Brooks,
s000000758,Mel Brooks,1926
s000000759,Phyllis Brooks,1914
s000000760,Rand Brooks,1918
s000000761,Ray Brooks,1939
s000000762,Edward S. Brophy,1895
s000000763,Pierce Brosnan,1952
s000000764,Antonia Brough,
s000000765,Mary Brough,1863
s000000766,Blair Brown,1948
s000000767,Bruce Brown,
s000000768,Bryan Brown,1947
s000000769,Eric Brown,
s000000770,Foxy Brown,
s000000771,Gary Brown,
s000000772,Gaye Brown,
s000000773,George Stanford Brown,1943
s000000774,Georgia Brown,1933
s000000775,James Brown,1920
s000000776,Janet Brown,
s000000777,Jim Brown,1936
s000000778,Joe E. Brown,1892
s000000779,Johnny Mack Brown,1904
s000000780,Ken Brown,
s000000781,Lou Brown,
s000000782,Peter Brown,
s000000783,Reb Brown,
s000000784,Roger Aaron Brown,
s000000785,Tom Brown,1913
s000000786,Vanessa Brown,1928
s000000787,Wally Brown,1989
s000000788,Coral Browne,1913
